Date,Open,High,Low,Close,sqrt(close),change,unemployment,,
2/7/97,"6,855.80","6,906.22","6,747.28","6,855.80",82.79975845,,,,
2/6/97,"6,773.06","6,821.17","6,683.40","6,773.06",82.29860266,,,,
2/5/97,"6,746.90","6,913.14","6,704.56","6,746.90",82.13951546,,,,
2/4/97,"6,833.48","6,859.65","6,738.43","6,833.48",82.66486557,,,,
2/3/97,"6,806.16","6,858.11","6,733.04","6,806.16",82.49945454,0.101560516,5.2,,
1/31/97,"6,813.09","6,912.37","6,769.99","6,813.09",82.54144414,,,,
1/30/97,"6,823.86","6,845.03","6,719.96","6,823.86",82.60665833,,,,
1/29/97,"6,740.74","6,766.91","6,627.98","6,740.74",82.10200972,,,,
1/28/97,"6,656.08","6,823.48","6,612.20","6,656.08",81.58480251,,,,
1/27/97,"6,660.69","6,748.82","6,598.73","6,660.69",81.61305043,,,,
1/24/97,"6,696.48","6,798.08","6,629.91","6,696.48",81.83202307,,,,
1/23/97,"6,755.75","6,953.55","6,724.19","6,755.75",82.19336956,,,,
1/22/97,"6,850.03","6,913.14","6,801.16","6,850.03",82.76490802,,,,
1/21/97,"6,883.90","6,934.69","6,771.14","6,883.90",82.96927142,,,,
1/20/97,"6,843.87","6,893.13","6,777.30","6,843.87",82.72768581,,,,
1/17/97,"6,833.10","6,863.88","6,732.66","6,833.10",82.6625671,,,,
1/16/97,"6,765.37","6,818.47","6,688.40","6,765.37",82.25186928,,,,
1/15/97,"6,726.88","6,800.77","6,669.93","6,726.88",82.0175591,,,,
1/14/97,"6,762.29","6,816.17","6,689.94","6,762.29",82.23314417,,,,
1/13/97,"6,709.18","6,773.45","6,647.99","6,709.18",81.9095843,,,,
1/10/97,"6,703.79","6,725.35","6,530.62","6,703.79",81.87667556,,,,
1/9/97,"6,625.67","6,677.24","6,520.23","6,625.67",81.39821865,,,,
1/8/97,"6,549.48","6,650.30","6,509.84","6,549.48",80.92885765,,,,
1/7/97,"6,600.66","6,621.82","6,481.75","6,600.66",81.24444596,,,,
1/6/97,"6,567.18","6,647.22","6,508.30","6,567.18",81.03813917,,,,
1/3/97,"6,544.09","6,586.42","6,437.10","6,544.09",80.89554994,,,,
1/2/97,"6,442.49","6,511.38","6,318.96","6,442.49",80.26512319,-0.023424755,5.3,,
12/31/96,"6,448.27","6,580.90","6,421.74","6,448.27",80.30112079,,,,
12/30/96,"6,549.37","6,587.05","6,540.53","6,549.37",80.92817803,,,,
12/27/96,"6,560.91","6,607.81","6,510.93","6,560.91",80.99944444,,,,
12/26/96,"6,546.68","6,594.74","6,495.94","6,546.68",80.91155665,,,,
12/24/96,"6,522.85","6,546.68","6,467.10","6,522.85",80.76416284,,,,
12/23/96,"6,489.02","6,539.76","6,428.27","6,489.02",80.55445363,,,,
12/20/96,"6,484.40","6,597.43","6,445.19","6,484.40",80.52577227,,,,
12/19/96,"6,473.64","6,499.40","6,352.15","6,473.64",80.45893362,,,,
12/18/96,"6,346.77","6,399.06","6,272.96","6,346.77",79.66661785,,,,
12/17/96,"6,308.33","6,354.46","6,206.83","6,308.33",79.42499607,,,,
12/16/96,"6,268.35","6,388.68","6,227.98","6,268.35",79.17291203,,,,
12/13/96,"6,304.87","6,377.14","6,227.59","6,304.87",79.40321152,,,,
